timestamp,CB-X1,CB-X23,CB-B1,CB-C1,CB-D1,CB-A12,S-X1-AD,S-X1-FG,S-X2-AD,S-X2-DE
2023-01-01 00:00:00,85.14,92.94,73.04,50.39,108.98,60.01,50.28,27.12,45.98,30.84
2023-01-01 01:00:00,86.03,88.06,71.6,46.51,103.53,58.01,51.82,23.99,46.39,28.5
2023-01-01 02:00:00,84.32,91.36,68.63,46.86,106.71,55.92,48.17,24.66,49.4,29.49
2023-01-01 03:00:00,82.49,96.26,72.4,50.5,109.04,59.08,48.78,24.81,46.34,30.45
2023-01-01 04:00:00,83.79,94.86,71.15,48.76,107.41,57.35,53.77,26.85,48.9,30.38
2023-01-01 05:00:00,82.19,93.24,70.16,50.97,105.66,60.52,49.33,26.16,47.69,30.32
2023-01-01 06:00:00,85.33,92.5,71.05,49.81,104.73,57.42,47.49,25.43,46.34,28.17
2023-01-01 07:00:00,89.17,93.32,73.45,51.56,115.92,61.64,51.01,25.95,48.42,29.47
2023-01-01 08:00:00,83.81,94.5,71.97,51.53,112.55,60.01,49.35,27.22,46.83,30.85
2023-01-01 09:00:00,83.72,92.48,70.52,47.93,112.62,59.26,48.78,25.11,47.3,29.54
2023-01-01 10:00:00,87.9,86.23,71.2,51.41,105.42,59.3,50.94,25.96,47.25,31.74
2023-01-01 11:00:00,89.5,103.27,73.56,51.56,117.54,63.03,50.84,27.7,48.66,29.68
2023-01-01 12:00:00,92.82,105.1,73.14,53.92,116.09,63.51,56.16,27.42,49.5,32.61
2023-01-01 13:00:00,96.49,108.43,81.18,58.83,125.55,72.69,57.82,30.62,52.11,34.26
2023-01-01 14:00:00,110.65,127.05,91.18,65.87,135.94,79.52,64.64,32.29,60.97,36.57
2023-01-01 15:00:00,127.87,130.21,97.3,66.6,162.95,87.45,78.3,36.95,66.06,44.42
2023-01-01 16:00:00,132.83,159.23,124.36,82.33,176.84,96.66,86.68,37.22,79.83,49.3
2023-01-01 17:00:00,148.17,165.69,125.55,86.45,196.63,111.41,88.85,44.78,81.39,53.74
2023-01-01 18:00:00,144.5,174.46,135.88,93.75,201.8,106.88,92.71,44.59,87.96,54.08
2023-01-01 19:00:00,143.78,162.59,125.03,93.7,189.12,108.6,89.4,45.38,83.93,56.4
2023-01-01 20:00:00,130.41,153.16,116.61,80.96,185.73,95.42,79.08,39.06,82.59,48.15
2023-01-01 21:00:00,123.8,139.23,104.2,72.12,159.74,86.33,74.33,36.62,70.55,46.82
2023-01-01 22:00:00,105.85,125.51,87.23,65.24,140.69,73.3,65.66,34.13,58.91,40.12
2023-01-01 23:00:00,100.69,110.98,80.2,56.87,128.98,65.95,58.14,28.81,57.5,36.81
2023-01-02 00:00:00,95.12,105.0,80.54,57.4,118.5,67.88,54.28,28.23,53.94,33.79
2023-01-02 01:00:00,93.98,101.26,78.08,56.15,127.62,70.5,51.74,28.16,49.31,33.01
2023-01-02 02:00:00,86.27,109.61,80.06,54.56,117.54,65.12,58.52,28.91,52.12,34.41
2023-01-02 03:00:00,92.82,104.15,79.86,52.69,126.42,66.68,51.5,29.83,52.94,31.81
2023-01-02 04:00:00,94.44,102.58,75.45,57.2,122.38,65.72,56.23,28.11,52.68,32.12
2023-01-02 05:00:00,94.98,102.23,75.97,55.64,125.23,67.3,54.94,29.61,51.91,31.33
2023-01-02 06:00:00,89.54,99.06,76.48,57.45,115.61,69.09,57.63,30.62,51.13,34.75
2023-01-02 07:00:00,93.06,100.77,74.36,51.61,127.67,63.76,56.15,27.93,53.2,32.11
2023-01-02 08:00:00,91.5,98.04,75.94,56.47,122.86,63.29,53.65,28.16,52.96,34.39
2023-01-02 09:00:00,92.4,104.67,79.48,54.81,120.89,64.74,56.4,29.54,55.22,35.12
2023-01-02 10:00:00,99.58,104.65,83.35,54.8,127.46,68.63,54.13,28.33,50.79,33.26
2023-01-02 11:00:00,95.44,108.18,85.92,58.07,125.64,71.04,59.92,29.18,56.32,34.33
2023-01-02 12:00:00,102.64,107.4,87.8,63.34,126.66,72.43,58.11,31.39,59.45,34.81
2023-01-02 13:00:00,114.25,119.34,90.63,63.55,141.29,80.54,63.0,31.63,62.66,40.84
